Unnamed: 0,sentence,labels
1286,"Now that dog's older and and it does older, and it's a great ham.",irrelevant
1287,"Could you provide your date of birth and your current address, including zip code?",did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
1288,So how did you want me to quote for Milly monthly for our early or yearly a year? Really play?,irrelevant
1289,"To ensure we have the correct information, please confirm your address and policy number.",did rep ask the exact customer address?/policy number
1290,Perfect. Now i'll make it quick for you. So the initial inquiry came in as only one person will be registered under the property. Is that correct. Nine.,irrelevant
1291,"I'll be right back. In the meantime, please confirm your year of birth.",call hold/did the rep ask for date of birth?
1292,I would really appreciate you could give me a callback. My direct number is 02081244093 The number again is 02081244093 and i'm the.,irrelevant
1293,Now you gave me your current address which was fourteen hickey place.,irrelevant
1294,"Before we continue, could you please spell your full name and tell me your exact address?",did rep ask for the spelling of customer name?/did rep ask the exact customer address?
1295,Please hold for a moment while I confirm your phone number.,call hold/secondary contact numbers
1296,And what is the brand name of your travel insurance?,irrelevant
1297,I’ll just place you on hold for a moment while I verify your address.,call hold/did rep ask the exact customer address?
1298,Okay. Alright. Okay now And to for the inconvenience as well. Alright.,irrelevant
1299,Hi.,irrelevant
1300,Do you still have a landline night? I need to remove the policy states.,irrelevant
1301,"Yes. So my accommodation in France, that wouldn't be...",irrelevant
1302,Confirm and I just have to sign this.,irrelevant
1303,I'm just good to think about it first of all. Alright. What I can do is I can give you a number. Mh.,irrelevant
1304,Is that correct? Yes.,irrelevant
1305,"Instead, if you had stream, you get people.",irrelevant
1306,"Um, and the quote does not include any routine like annual injections, health check, the sexing flee, taken worm control or council registration.",irrelevant
1307,"Hello? Hello. Good afternoon. I'm i speaking with Steven Nap. Can I ask who's cohen? Yes, Steven. My name is Croatia. I'm calling from Moo nancy. The law firm.",call opening greeting
1308,"Okay. It seems pretty expensive. It is covering for individual travelers for adults So whereas for example, goes only just just helping your husband going. He will be Yes as well okay it's because your two children now accounts as adults and that a separate charge.",irrelevant
1309,"Yes. I do. And where you have others on your policy, Do you have that consent legal rights code personal information, including health insurance health information. Alright.",consent to proceed
1310,Perfect. Perfect. So the biggest milestone is completed now.,irrelevant
1311,My direct direct number is 02081244093 The number again is 02081244093 Zachary christie. Thanks. Bye.,call closing greeting
1312,"Plus, you need to know what the coverage is. for So I'll E. Mail all that through for You know, we're here until eight o'clock at night, Monday to Friday.",irrelevant
1313,Yes. Alright. Let me just punch in those Thursday.,irrelevant
1314,"I was quite wrong when she gave me these 81 quarter of what Well, you know, we lost men at the start of the year, and certainly her cover wasn't anything like that.",irrelevant
1316,This with regards to the quotation request for the sale of your property.,irrelevant
1317,No problem from that. And then So I just put to be confirmed for now Francisco.,irrelevant
1318,"Oh, miniature nature.",irrelevant
1319,"Did she... Has should gonna have with the with the different commands? I don't believe she has yet. No. I think she's just getting prices to compare. Oh, okay. Okay. So let me do this.",irrelevant
1320,"For our records, may I have your exact address and an additional contact number?",did rep ask the exact customer address?/secondary contact numbers
1321,It all credit card. Okay. And eight o'clock tonight your officers at Western and Eastern Standard time will be o'clock your time.,irrelevant
1322,That's fine. Now do here is absolutely understand.,irrelevant
1323,"If you're not outside the policy mutual will need requirements, and you have not made a claim trip, you can cancel within the fourteen day going off period and any premium paid will be refunded back to you.",irrelevant
1324,"Out the subject. Oh, hi, Jackie. A few weeks ago, I think I spoke to a lady cold, honey, Um, about setting up insurance for our dog. Right.",irrelevant
1325,I'll send it from my work email. Okay.,irrelevant
1327,"If your fellas fellas, it's possible that we made a piece to pay, claim and cancel the contract. Do you understand and accept Judea disclosure. Okay. Thank you, Tracy.",irrelevant
1328,So I could just for clarity. So it's purpose one eighty six thirty three.,irrelevant
1329,"Does that sound right. Not correct. Look, I'll throw drop a quote based on those travel dates. Mh. If you need to amend to the travel day, just let me know.",irrelevant
1330,We're ready to go now. We just instructed solicit.,irrelevant
1331,"You have duty to take reasonable care not to make this presentation when entering into this contract of insurance. It's important you understand. You're answering questions for yourself. And anyone else that you want to be insured by the contract and the insurance we offer is based on your. When you answer the questions, you must take reasonable case to give it true an accurate answer and fully answer question. If you do make a mister representation to us, we may cancel your contract or reduce the amount we will pay you if you make a claim or both. If you make a fraud in the representation to us, we may refuse to pay claim because is never existed. Your policy is not cover cost relating to an existing medical conditions that you are already aware of unless you have told us about that condition, and we've accepted the risk. Please enter the following medical questions truthfully and accurately as inaccurate declarations stay, we are unable to cover any related claim costs.",duty of disclosure
1332,"Okay. And Alejandra date of birth 7th of August 1987. Yep, and could you confirm your email address as well?",irrelevant
1333,There's going to come. You will still be You still need to pay every fortnight. The discard has been spread out all throughout your 12 contract okay?,irrelevant
1334,Say I'm just calling on behalf of a member today.,irrelevant
1335,That's right. Yeah.,irrelevant
1336,And this is his life insurance. Right?,irrelevant
1337,"So you should have been receiving a updated in your statement every month, and you should always receive that August and we post it out.",irrelevant
1338,"I just cold. And you got a couple of fault, Not leaves in a couple of months. Lease? Not annual yet. All right, So what would you perfected? We've got three choices.",irrelevant
1339,"Good morning. Found while now, pet insurance.",call opening greeting
1340,I'm just gonna repeat at that. I'm just copying pasting just to save time. Yeah.,irrelevant
1341,"When I did with you, you've got a pretty good star rating saying that they and they were rated number one by policyholders. And I take Karen.",irrelevant
1342,"This can include crucial ligament conditions, tick paralysis on consultations. The problem it's that apply to recover will be specified on yours. Difficult off insurance. Okay.",irrelevant
1343,"Yep. If they usually yeah once a person passes, they usually go to the you're right. They usually go to the funeral home.",irrelevant
1344,No not all right account.,irrelevant
1345,Okay. Yeah just need to find out.,irrelevant
1346,Good morning. My name is Graham Riley. I'm bringing you from twelve South West Palm Hamilton.,irrelevant
1347,"After the s. It's w. Okay. And your surname name is spelled off of Romeo, A for alpha, j for Juliet, a for alpha, d for delta, u for uniform, r for Romeo, a for alpha, for india.",irrelevant
1348,"I just need some more personal information. So can you give me an informed Oh yes. Asap apple, h Harry o, after Rabbit. Yes. A for apple again, burlington Nelly Mh. X Yep. N canary kevin. Dot. Dot u. Alright. So it's just a for alpha H hotel o for Oscar r for Romeo a alpha n for November, at n for November, see charlie p alpha b for bravo, l lima r, e echo dot net dot u That's it. Yes. And the mobile phone do you have a member cable give. Yes. In k in cable. Yep. That's it. vely weekend. Thanks. Bye. Bye have.",irrelevant
1349,So what's your husband's hospitalization is? Fifty one Okay? And what's the age of your two children? Twin... What when They travel? When today's date actually. Today's date. One nineteen and one twenty one. That's. Alright. See. Alright.,irrelevant
1350,Thank you. Let me just go through some security questions with you off Jane.,irrelevant
1351,"Okay. It it was just broken on a normal days surfing. I fell off a wave. And when I came up, the the board was broken. It was on the fifteenth of September, and -- Mhmm. -- the board is three years old.",irrelevant
1352,And that's why I get docked it from Hot Richard hold center because they know what a the condition of my dog.,irrelevant
1353,Welcome to asteron life of speaking with Luke.,call opening greeting
1354,Good afternoon. You've called through the Welcome here at insurance guide. How can I help you today?,call opening greeting
1355,So in this in the case of yourself will just take a residential address.,was client residency information taken?
1356,"So... Okay. Yeah. Be the only change I made to the medical, I copied and pasted all the information for the previous one, so I kept you also kept keith for stent, h pressure cholesterol. But the only change you made was that he still marks. And it's... It's jumped off his policy.",irrelevant
1357,"Before we proceed, could you confirm your beneficiary’s name and date of birth?",did rep ask for the spelling of customer name?/did the rep ask for date of birth?
1358,This is with regards to the quotation request for the sale and the purchase of your property. The reason for my call is Caroline to confirm and verify few details just make sure that you could you have cv and accurate quotation.,purpose of the call
1359,"You can review it when your policies due for renewal, which is 12 months time.",irrelevant
1360,What was it D 0 1 6 2 6 6 for the right.,irrelevant
1361,Thank you. You're welcome. Have a good day. Bye bye.,call closing greeting
1362,Could you confirm your address before I put you on hold?,call hold/did rep ask the exact customer address?
1363,May I place you on hold while I confirm your phone number?,call hold/secondary contact numbers
1364,"Sorry. But the person you've called isn't available at the moment. Why not leave a message so they can get back to you. To speak after the tone, when you finished your message, just hang up. Or hear more options, press one.",irrelevant
1365,"But the website doesn't let you go in detail, which will not allow you to see the actual quote you have to receive.",irrelevant
1366,"I really appreciate if you could give me a callback for us to come confirm the details. And if you happen to with the quotation, we can get the entire future.",irrelevant
1367,Yeah. That's fine.,irrelevant
1368,Hi. This is Message with Charles buzz. My name is. I'm calling from Moo Mc.,call opening greeting
1369,"I mean, I'm happy to send you something through that You can have a read off, which will explain how it all works. And I have my thinks it's hot to Lamont together.",irrelevant
1370,I’ll need you to spell your name and provide your address to confirm the details in our system.,did rep ask for the spelling of customer name?/did rep ask the exact customer address?
1371,Do you have any concerns you can get back to me. My direct number is 02081244093 The number again is 0208124409 Right kris. Thanks. Bye.,irrelevant
1372,"Hello, Jacqueline. And here, I think twenty four I'm I'm sorry to keep you there. Okay. Yes.",irrelevant
1373,Any specific a claim coverage information is subjected to review in accordance with your product policy and information provided to us.,irrelevant
1374,Let's start with the general advice warning before I collect your name and DOB.,general advice warning/did rep ask for the spelling of customer name?/did the rep ask for date of birth?
1375,You're fine. Alright.,irrelevant
1376,We'll look where if we could have your reference number because I'm not gonna go ahead... We'll...,irrelevant
1377,"Before we go any further, I need to inform you that we not be providing you with any advice personal recommendations. Although, we will provide you with abbreviated information about travel insurance products so you can choose the suitable policy. Is that okay with you? Yep.",general advice warning
1378,"I told him I thought it might have been a bit too much to hope for them to have your name on it already. I wanted to make a Philly region payment, of course at the time and thought I wasn't vehicle able to wait the two or three days.",irrelevant
1379,"You're most welcome, Hannah. Can put hearing from you soon then. Take care.",irrelevant
1380,Any specific claim coverage information is subject to review in accordance with your product policy and information provided to us.,irrelevant
1381,Okay. I have to pray with me.,irrelevant
1382,"So I've just copied all the information over that.I'm again to confirm that you wanted the gold single trip policy. For just yourself traveling to the worldwide excluding the Americas from the twenty seventh of May to the twenty ninth of June. We click on your previous policy, you include natural disaster star. And we already applied a discount code. So it's currently coming to two hundred and three dollars and six cents just for yourself. Three fifty three and six cents.",was cover description given to customer?
1383,I want to send a across the accurate quotation for your reference.,irrelevant
1384,"Okay, so without the two months free and the 80% benefit, it will be $55.73 a fortnight. Rot in the next one 70%. $45. 30 four. Yep. The pictures even agree. No, no. I mean, the premieres are high because the dental, the bitter so advanced at the moment.",irrelevant
1385,"Not No, he's not. Okay, okay. And, ah, the insurance is a 12 months contract, and you have up to debate for nightly or in installment. The level of over you have chosen. Simone is, uh, called the premium care.",irrelevant
1386,You're speaking with Susan. Hello. Hello.,irrelevant
1387,"At gmail dot com. And you want Liam. That's okay. It's just a really, really bad run. So, um, l I I am already r i c k s a gmail dot com. Yes, that's correct",irrelevant
1388,Or do you give you to hear from your colleague take care then by.,call closing greeting
1389,Thank you and date of birth.,irrelevant
1390,Yes. k. Repeat that. It's XXXX Correct? Yes. Okay. Just a moment here.,irrelevant
1391,If it's dead it is fortnightly. Okay. Just leave you this fortnightly.,irrelevant
1392,"But I'll send back. I just want to confirm that otherwise, I'll be double paying for my okay, right? I'll let me look at this particular case then.",irrelevant
1393,No. This includes everything. I think I sent cross email for you to confirm and you confirm the details and I send across the quotation.,irrelevant
1394,Bear with me the system is a bit lag. Yeah. I'm sorry. Can you guys? The setup years has got there. Appreciate. So that was a funny four... The problem you would have everyone comes on to talk to would be irritable. If you can change matter Understand.,irrelevant
1395,But I have got my itinerary and my receipt for my medical.,irrelevant
1396,I'm concerned that Mel confirmed that later before Actually think up.,irrelevant
1397,I need to direct you in the right.,irrelevant
1398,I'll need to put you on hold while I verify your contact details.,call hold/secondary contact numbers
1399,Hello. Hello.,irrelevant
1400,"now the Chinese. Oh, hello. One has been really wanting to get a quote for insurance for my three year old. Perfect coffee.",purpose of the call
1401,"Okay. Yeah, it would be great if you could transfer me cuz I think that would be charging me.",did rep informed the customer about call transfer?
1402,Okay. Yes. So I was just done an an online request sorry my on one send one I get cut off. I actually haven't had my offer accepted. I needed to estimate my fees so I could get money lined up. So if you've... You sent me an email with something on.,purpose of the call
1403,Let’s go over your name and address again to ensure accuracy before moving forward.,did rep ask for the spelling of customer name?/did rep ask the exact customer address?
1404,Yes. Hi.,irrelevant
1405,"And same contact phone number or a different number? So I'll give you her direct number, which is 0410 Mh.",irrelevant
1406,Their treatment so advanced. So you said that on the breed that sounds like a Rottweiler costs more than a different breed. You know the main.,irrelevant
1407,So you just need to save that one off know that link.,irrelevant
1408,"Is there anything else I can do you you do today, Margaret?",irrelevant
1409,Did you see number with you sir.,irrelevant
1410,"I do apologize unfortunately, I could to get through to Natasha.",irrelevant
1411,"No, that's what I thought, because she bought it today.",irrelevant
1412,"Hi. I inquire that, um, getting shoes.  Um, yeah.
I was looking through the court of mine. Um,",purpose of the call
1413,Just four digits. Yeah. And can you enter the three digit security code on that card? Hit process,irrelevant
1414,I will put you on hold now Can you verify your home address?,call hold/did rep ask the exact customer address?
1415,Yeah. Sure just to the same email address as usual. Yep,irrelevant
1416,"Yeah, I know, but I'm dollars would not want to.",irrelevant
1417,"Okay, I can do that. And yeah, it's just going to add that was the other thing I was going to ask you for is a email address if you have one month.",irrelevant
1418,Great. Okay. Thank you. You're most welcome come then Tom.,irrelevant
1419,So we can do a name search page? What's your what's your last name Martin barquin?,did rep ask for the spelling of customer name?
1420,What's the average wage? 0 2 0 3 6 9 0 5 that's what I have on their roof recall you email we have is Keith.,irrelevant
1421,May I have your date of birth along with the address you currently reside at?,did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
1422,Only Euro Assistance Shaliyah. And speaking. How may I assist you?,call opening greeting
1423,"Hi, Lock. What what do you want from me?",irrelevant
1424,So how how calling spelled? PAULINA It's and your middle name or your first name... Name my middle name.,did rep ask for the spelling of customer name?
1425,"Some of those conditions have annual sublimity, depending on your level of cover.",irrelevant
1426,Kindly hold for a short while while we confirm your birthdate.,call hold/did the rep ask for date of birth?
1427,I want you to confirm a few details with her to send across an accurate quotation.,irrelevant
1428,Please provide your name and date of birth again for verification purposes.,did rep ask for the spelling of customer name?/did the rep ask for date of birth?
1429,"And if we further discuss with me about the quotation or can give me a call on my direct direct number, which is 02081244093 The number again is 02081244093 And I'm zero appreciate.",irrelevant
1430,"Hi, Chris. This is Leo Chris. You're calling from Move From to. You require a quick quotation last week.",irrelevant
1431,"Now last time, it didn't result in any additional medical charge. I'm just gonna this again and see charge pay anything time either.",irrelevant
1432,"Harsh is beautiful club mccaf adults as well. When she could take on as in t knows, he watches him for three days and then he toughed it out their personality, and then she'll engage play off their level.",irrelevant
1433,"And if you happy with happy with that we can get south you Anthony, I will be looking for the inform you.",irrelevant
1434,"Sorry. Yes. That was on the advertising. Said if you had truly dog review on insurance, it was Get discount.",irrelevant
1435,"There's no any different 36. Okay. Yeah, but it looks like I have found something here.",irrelevant
1436,"Okay, we actually. Our Authority for you at our end which actually basically puts it on hold and that's okay, but we'll get this underway and we'll go from there.",irrelevant
1437,Please give me your full name and birth details so I can explain the general advice about this policy.,did rep ask for the spelling of customer name?/did the rep ask for date of birth?/general advice warning
1438,The quotation will not change. Okay? There are no hidden fees as well.,irrelevant
1439,Hello. Sorry. Can you repeat that?,irrelevant
1440,"That's perfect. Thank you, sir. What was your new address here in Georgia?",did rep ask the exact customer address?
1441,"Oh. I don't do that, actually. I can ask questions, and I can come back to you with the confirmation if he can handle it and how we can handle it that all I could do on this otherwise, if you instruct us, I can then further take your transaction forward then you can speak to a command i'll you detail this transaction to see how can dispute.",irrelevant
1442,I have two of us.,irrelevant
1443,"The only things can be attended to that'll be really good. You know, obviously the bank to give them to email you once the transfer of funds have been done more you post it to us as well. Also, put you place this ring. The premium renewals are often to us. Okay, you automatically sent out today, but we can keep it. We know what we've got on our file and what we haven't got this sometimes.",irrelevant
1444,Would you like to make any changes to your contact number or birth date?,secondary contact numbers/did the rep ask for date of birth?
1445,"Again, we we with a adjusted the client. We would adjust the amount that we pay relative to the value of the item and fair entail. So Absolutely. Yeah.",irrelevant
1446,"Exactly. Next yes. And the will be live next week, it? That is fine. I is fine whenever to search results come in, have the go ahead. You can do it that. Yeah. I. I'm making note this. Question still i doubt now is how do I... When it which documents the need? What is you need from my side? What connected that. Right.",irrelevant
1447,Welcome to Assurant mode. Josephine speaking. How can I help you?,call opening greeting
1449,You're most welcome.,irrelevant
1450,Great.,irrelevant
1451,"I've got I put in three bars 6th Street, but it doesn't bring it up. So do you have to put apartment to you or fax know?",irrelevant
1452,It's applicable cover for risks under the illness cover section begins 30 days after the policies being issued.,irrelevant
1453,"Yeah. Okay. So since the the policy, it's moving you from seventeen days duration to travel to twenty three days. That's moving you up more than a couple of days that we could allow and it basically moves you into a new duration bracket. So what is up to do in this instance is I'd have to cancel this policy, refund you the full amount and take out a new policy as well. And then and then it would it with resulted in, you know, a bit of an extra charge. You paid two hundred and six dollars and three cents. Once you post new policy, I can just refund that back to you to the the card payment method you use, and you can take out the new policy as well. Would you like me to do that for you?",irrelevant
1454,Yes. The and may have the post.,irrelevant
1455,Could you spell your name and give me your exact address so we can proceed with this request?,did rep ask for the spelling of customer name?/did rep ask the exact customer address?
1456,Please provide the insured person's name and date of birth for verification.,did rep ask for the spelling of customer name?/did the rep ask for date of birth?
1457,Apologies. I understand. Now you bet do apologize. It's just a company. I'll I'll take you back and see consideration. Yeah. Please. Because what you're gonna to do is you ring the company up and you listen to it. When me one blasted.,irrelevant
1458,"Yep. You know, I mean, I didn't get tipped it off the lower one then. The law is not really the lower one.",irrelevant
1459,"Yeah. I missed the first bit of that, but it's okay with me.",irrelevant
1460,"Yes. Okay, man. Let me send something through.",irrelevant
1461,Just one moment. Just kinda set you up that. Sure.,irrelevant
1462,I'm actually calling from the sales team,irrelevant
1463,"Leave me a message, I'll be back to you as soon as i can. Many thanks Please leave your message after the tone.",irrelevant
1464,"Unfortunately, our name is not answering the call. I've been.",irrelevant
1465,"Yeah. So that means... I mean, if I were to see if I disclose those two, I'm practically well... It's... Okay covered for six thousand.",irrelevant
1466,Okay. I'll just transfer you over.,irrelevant
1467,"We can have the secondary, the secondary, then cross. And we just have to request the bridge back to B.",irrelevant
1468,Is it is it that's where you go.,irrelevant
1469,"Hello, there. Hi.",irrelevant
1470,"The of May the twentieth of june. Yeah. Sounds good. Alright. Look, I hope you have a wonderful trip, and and thanks for your time today. Thank you, Lot.",irrelevant
1471,This is with regards to the quotation request call which you made rather comprehensive web alright. The reason for my call is to provide you with an accurate quotation caller I need to confirm a few details on your cell transaction. And i'm across an accurate record which you can compare other forms and make a decision for yourself.,purpose of the call
1472,The consultant mentioned that the advice is general and asked for the spelling of your name.,general advice warning/did rep ask for the spelling of customer name?
1473,What date?,irrelevant
1474,"This means that you're making decisions about blame on behalf of holidayed greenstone Financialservices may receive a commission off up to 35% off the net premium to market guide dogs for insurance policy that sure may also receive a portion of the insurance perfect if any, for administering guide dogs for insurance, I receive a salary, some mature and may receive performance bonuses.",irrelevant
1475,Yes. I'm just having a chat to my manager about how to fix this up here. It'll just be a little bit longer about two minutes.,irrelevant
1476,"Okay, So from my end, when I put down Corgi cross it doesn't give me the option to add on a secondary.",irrelevant
1477,Probably not not fear cuz I've got to get it done before Thursday.,irrelevant
1478,Yes. Yeah. Wonderful line for thomas.,irrelevant
1479,Have a good day then. You. Bye. Bye.,call closing greeting
1480,"Once we received the documents from the sellers, sellers us know about the property, but we don't. This the seller policy will send us the documents, the title documents. Your, sir, your lawyer will review those documents.",irrelevant
1481,"""Hello there, Traveler. Thanks for giving us a ring. Just to let you know, we may record this call for training and monitoring purposes.",irrelevant
1482,"When Stan and his, uh, breed British bulldog, British bulldog. Okay, Doc and the Willows as winsome State of Birds.",irrelevant
1483,"So you can compare that the forms and make a good decision for yourself, Mary.",irrelevant
1484,I'd like you to state the insured person's name and date of birth to complete the process.,did rep ask for the spelling of customer name?/did the rep ask for date of birth?
1485,I chose? The policy number is Delta 500-260-1292.,irrelevant
1486,"Is that what you can't see? Your your black passenger lane when you open it. It says file and report it or not reasonable, including the medical report. So it's just one flight itinerary you can't say. Is that right?",irrelevant
1487,Good morning. We'll give God expect hell Insurance became with Maddie home Elk in your bed today?,call opening greeting
1488,"Just give us a call. We're Monday to Friday from 8 a.m. To 6 p.m. Okay? All right. Thank you ma'am. I think oh, yes, bye-bye. Bye.",call closing greeting
1489,"Yeah, I can't do that.",irrelevant
1490,Can you share your complete address and a secondary contact number for record accuracy?,did rep ask the exact customer address?/secondary contact numbers
1491,So he was basically marrying council area on DDE.,irrelevant
1492,"So they are general exclusions that you should be aware So if you can just refer to our product disclosure statement, under the general exclusion, for any health condition, there has to be a a preexisting condition has to be disclosed to us.And we do have to accept the risk and that may result in a medical premium being applied to your policy. As well we go cover anything where you are receiving waiting for any kind of hospital test treatment or the traveling against the advice of the doctor? Yeah. As well any claim relating to circumstances which you are reasonable person your position or to have been aware of the time the policy was issued. And. We don't cover cruises. This there's also the general exclusion any claims arising to you consuming alcohol all the use of drugs accept those. Oh, yeah. Yeah. Prescribed doctor. Yeah. Any claim arising from war civil wall rights, okay strikes or those sort things. Mommy anything relating to use said manual labor, for example, in connection to business trade. Now manual labor is defined in a product disclosure statements as go there. Work involving physical labor, including but not limited to construction installation and assembly. It's not include by restaurant staff music seeing free pre non involving machinery. So just manual label like construction those sorts of things. Yeah. Yeah. Yeah. Yeah. So this is the... It's the general exclusion and you can go to our disclosure statement.",health exclusions
1493,"This is be regards to the quotation request. And for the purchase of the property, I think I confirm all the details which you send across accurate quotation for your reference. Just wanted to and follow up and see if you had any concerns of the quotation or the services or if you have gone ahead with someone else, You're happy to go ahead with us.",purpose of the call
1494,That's good. I'm glad I did that,irrelevant
1495,Kindly hold. Could you verify your birthdate for me?,call hold/did the rep ask for date of birth?
1496,"It's you found that important. Are you able to send send a a clear copy, like a screenshot?",irrelevant
1497,"To ensure accuracy, may I have your current address and an additional phone number?",did rep ask the exact customer address?/secondary contact numbers
1498,Thank you. Bye. Bye bye.,call closing greeting
1499,"Freeze there, men. 10%. Yeah, that, uh, automatic.",irrelevant
1500,Can you hold for a moment while we verify your birthdate?,call hold/did the rep ask for date of birth?
1501,It is close to Shannon.,irrelevant
1502,"Provide Limited is unauthorized representative off greenstone financialservices provided limited guide dogs for insurance is a range on administered by Picture Australia Provide Limited, a subsidiary company of followed, which has been given a binding authority by holiday to enter into very and cancel guide.",irrelevant
1503,"Was there anything else I can help with today? No, no, everything's fine. Yeah, anything else does come up in the meantime, but still Monday to Friday from 8 a.m. To 6 p.m.",irrelevant
1505,Everything?,irrelevant
1506,And that wasn't covered in the poisoning news covered under our accident.,irrelevant
1507,Welcome to AA life. You're speaking with Wahid.,call opening greeting
1508,Yeah. I'm here.,irrelevant
1509,No.,irrelevant
1510,"Okay, so I can see I can say this policy or the like a policy with you.",irrelevant
1511,"That's completely fine, Honey. Just to let you know, this is not about the quotation that I'm saying you. It's just for me to send you fixed code. Not too...",purpose of the call
1512,As I understand we can't cover anything that happens to him unless he's we we put them on the policy as an additional traveler.,irrelevant
1514,Okay. Alright. Is there anything else? No. That's that's it. How long do they usually take?,irrelevant
1515,So you happy to receive all communication at that email address?,irrelevant
1516,"If I get Covid, I will get two thousand five hundred and claim cancellation for whatever reason up to fifteen thousand. But not Covid.",irrelevant
1517,Okay. Thank you pay Kia fine.,call closing greeting
1518,So does any of those say wage? From life on the reference filled on your bank statement.,irrelevant
1519,"Well, thanks for calling Napleton good day, Thank you very much. Have a good day",call closing greeting
1520,"Um, I got hurt today at the moment, Algy.",irrelevant
1521,"No, that's fine, I just don't want it to be Miss. So it's fine. I mean, even if it misses we can collect it back and it's find that if it's not paid for a few extra days, it's not going to affect policy at all.",irrelevant
1522,Perfect. So I looking to any recent months so that you're gonna take more than a month. What's what the date it is.,irrelevant
1523,o you'll need to weigh up all along with our product disclosure statement when you decide what you want to do.,irrelevant
1524,"Since you've been loyal customer, what I'm gonna do, I'm going to cancel this one, give you a full refund and then we can go straight from the top and I can give you purchase this. Well rather...",irrelevant
1525,Let me put you on hold while I confirm your contact number.,call hold/secondary contact numbers
1526,Spoke with a lefty speaking with you,irrelevant
1527,Mr. Bush is saying something like that. Yes. Okay. I'll get him on the line.,irrelevant
1528,"Okay. Well, let me just take a quick look. Could you just tell me your address and date of please",did rep ask the exact customer address?
1529,Alright. Let me just bring up your policy. Alrighty.,irrelevant
1530,"So stinky at that wage now, could you would you mind just confirming your mobile number for me to someone?",irrelevant
1531,"I understand that can cancel this Authority at any time by providing written notice to asteron life. I understand that. It's the amount of my credit card page. Changes, oh we sent with notification of the new amount at least 30 days before the due date.",irrelevant
1532,Okay. So this one is Elizabeth. Elizabeth II the policy is in the ownership of Elizabeth are the life insurance on the policy but Elizabeth policy.,irrelevant
1533,"So if you can come up with Luke something give us a call back, then we'll be able to progress through that. Okay?",irrelevant
1534,Would that be... Fine. Yeah. That's fine.,irrelevant
1535,You can get back to me once you buy if you're gonna ahead.,irrelevant
1536,"Yep. We've included the previously medical conditions that you declared on the last occasion. Yourself that was blood pressure, anxiety and depression the david that was diabetes and high blood pressure.",irrelevant
1538,I will email you the confirmation in a minute or two anything else.,irrelevant
1539,That's under that. Case of cancellation.,irrelevant
1540,"Alright. I'm glad that i can be help, Helen, and I really hope you enjoy your trip. Thank you very much. Bye.",call closing greeting
1541,"The website you input the details, really moving let you go in detail It'll just give you a estimated quotation. Right?",irrelevant
1542,That's it. Oh I say. Yes. Yeah. Right.,irrelevant
1543,And you don't have a promotional curd?,irrelevant
1544,"Before putting you on hold, I need to confirm your address.",call hold/did rep ask the exact customer address?
1545,Like to go to different places and quite allover the place as impossible for the same.,irrelevant
1546,"As this call is recorded for your protection, please confirm your home address and contact number before we proceed.",call recording disclaimer/did rep ask the exact customer address?/secondary contact numbers
1547,This is with regards to the quotation request for the purchase of your property card.,purpose of the call
1548,"Only an accident is sort of like burns, electrocution, fight with another dog by car, make by those kinds of beings that we've got that? $10,000. It covers your four year, 80% back on that one, and then we've got to Yes. Thank you, guys. Yeah, we just got to others that are accident and illness. So it's those things and then illnesses. Things like diabetes, gastrointestinal problems, allergies, those trucks, They coming under the illness side of it. So I could give you prices on all of them with about one other one called the ultimate K plane. That one actually includes $2000 of dental illness cover.",did the rep read out all accidental serious injuries cover?
1549,May I know the reason why your for a return flight is canceled? if it was canceled by the airline? Or Yeah. It was canceled by the airline and the reason they gave was engineering issues.,irrelevant
1550,"We just got an email here of birth Rodger Mussa, Yes, right.",irrelevant
1552,"Wow. Okay. Uh, okay. Thank you for that. My current one is 35. Imam Mahdi Difference. I wonder Gold package. The talk one.",irrelevant
1553,What is your date of birth and your complete home address?,did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
1554,"Is that the right one, Maybe not.",irrelevant
1555,Would you prefer to silver policy of the gold policy?,irrelevant
1556,Quite okay. We'll see when the 1st 1 was okay.,irrelevant
1557,"No, that's all right.",irrelevant
1558,"As well I have to make you aware that the policy has certain health exclusions. There is no cover if anyone's awaiting hospital investigation treatment for any condition service symptoms. There's no cover if you're traveling the advice for medical practitioner traveling to get medical treatment abroad. Or if you been told about a condition of course death, and there's no cover if you or any person insured has suffered from any diagnosed medical condition that fails to close this to us at this stage.",health exclusions
1559,Okay. I'll have to go there.,irrelevant
1560,"Hi. Is that online? So you've called a a alive? Can I just grab your full name and date of birth, please?",irrelevant
1561,Thank you for holding.,irrelevant
1562,This with regards to the quickly request which you request a while website you. For a purchase of a property. I just wanted to confirm a few details on your transaction to make sure there's no changes and i across an accurate quotation.,purpose of the call
1563,"I know. One. Breathe. I didn't know Summit paper. I've left it out of the car. I'll go out Just college, get an important they get married.",irrelevant
1564,At j mo dot com I can your Amanda?,irrelevant
1565,Thank you. Bye I am fine.,irrelevant
1566,But that will be all specified in the documentation that I sent through to you.,irrelevant
1567,"For your security, this call is recorded. Can you provide your address and phone number prior to our policy discussion?",call recording disclaimer/did rep ask the exact customer address?/secondary contact numbers
1568,Eleven eleven seventy one. Gotcha. Alright. Just put you on hold for five minutes,call hold
